중앙도서관,8107,8966,4055,34037,9734,14049,14101,7478,65957,16042,2023-05-11
금촌도서관,2431,258,825,8352,3561,3379,2430,2060,22165,5156,2023-05-11
월롱도서관,372,640,197,1642,973,864,26,229,5194,1203,2023-05-11
문산도서관,3309,3679,1782,14671,5327,6015,5166,3141,32395,6967,2023-05-11
행복어린이도서관,671,607,216,2943,2871,1031,473,91,14251,2223,2023-05-11
법원도서관,2924,3547,1607,11034,5452,4799,4806,1936,27627,5844,2023-05-11
술이홀도서관,427,598,194,259,695,997,606,370,7005,1046,2023-05-11
적성도서관,1375,2222,950,7546,3210,3636,3177,1719,18219,4285,2023-05-11
파평도서관,340,669,212,1486,737,867,416,226,6083,927,2023-05-11
교하도서관,891,11890,5247,37869,13206,17337,19384,6049,80990,17071,2023-05-11
탄현도서관,523,89,214,2225,1041,1217,612,275,9310,1395,2023-05-11
한빛도서관,2953,3698,1029,11586,5609,4913,2820,7637,48692,6195,2023-05-11
해솔도서관,3773,4121,1632,12738,5815,583,2904,2019,35010,6531,2023-05-11
한울도서관,2165,3774,938,11508,3462,464,3753,1679,2955,4613,2023-05-11
가람도서관,3126,3936,887,8793,4651,6008,7969,1132,26218,4919,2023-05-11
조리도서관,1043,1640,543,4872,2244,2461,1281,850,19809,2641,2023-05-11
금촌3동솔빛도서관,2259,2797,891,8645,3724,3725,2339,1363,24451,4152,2023-05-11
물푸레도서관,1930,1802,628,5129,3526,2973,1517,900,21334,2963,2023-05-11
광탄도서관,819,1183,518,3704,2017,1877,1118,852,14374,2062,2023-05-11
